sample_id	cell_type	file_path
GSM5652379_Small-int-Epithelial	Small_int	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652379_Small-int-Epithelial-Z000000RT.hg38.pat.gz
GSM5652380_Small-int-Epithelial	Small_int	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652380_Small-int-Epithelial-Z000000UW.hg38.pat.gz
GSM5652381_Small-int-Epithelial	Small_int	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652381_Small-int-Epithelial-Z000000UY.hg38.pat.gz
GSM5652382_Small-int-Endocrine	Small_int	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652382_Small-int-Endocrine-Z00000436.hg38.pat.gz
GSM5652332_Esophagus-Z000000PZ	Esophagus	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652332_Esophagus-Epithelial-Z000000PZ.hg38.pat.gz
GSM5652333_Esophagus-Z00000426	Esophagus	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652333_Esophagus-Epithelial-Z00000426.hg38.pat.gz
OAC_071-021	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_071-021_ScrBsl_tumour.pat.gz
OAC_129-001	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_129-001_ScrBsl_tumour.pat.gz
OAC_071-011	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_071-011_ScrBsl_tumour.pat.gz
OAC_069-009	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_069-009_ScrBsl_tumour.pat.gz
OAC_071-022	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_071-022_ScrBsl_tumour.pat.gz
OAC_071-043	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_071-043_ScrBsl_tumour.pat.gz
